,2000 1% Census OCC code,2000 5% Census OCC code,2000-2004 ACS OCC code,2005-2009 ACS/PRCS OCC code,2010-2012 ACS/PRCS OCC code,2013-2017 ACS/PRCS OCC code,2018 ACS/PRCS OCC code,2000 1% Census OCCSOC code,2000 5% Census OCCSOC code,2000-2004 ACS OCCSOC code,2005-2009 ACS/PRCS OCCSOC code,2010-2012 ACS/PRCS OCCSOC,2013-2017 ACS/PRCS OCCSOC code,2018 Onward ACS/PRCS,Occupation title
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not Applicable (Under 16 years or not in the labor force, who last worked more than 5 years ago--also see occ code 992 or occsoc code 999920)"
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",,,,,,,,,,,,,,,
Management Occupations:,,,,,,,,,,,,,,,
,143,143,1430,1430,1430,1430,1430,172110,172110,172110,172110,172110,172110,172110,"Industrial Engineers, including Health and Safety"
,144,144,1440,1440,1440,1440,1440,172121,172121,172121,172121,172121,172121,172121,Marine Engineers and Naval Architects
,145,145,1450,1450,1450,1450,1450,172131,172131,172131,172131,172131,172131,172131,Materials Engineers
,146,146,1460,1460,1460,1460,1460,172141,172141,172141,172141,172141,172141,172141,Mechanical Engineers
,150,,1500,,,,,172151,,172151,,,,,"Mining and Geological Engineers, Including Mining Safety Engineers"
,151,151,1510,,,,,172161,172161,172161,,,,,Nuclear Engineers
,152,,1520,,,,,172171,,172171,,,,,Petroleum Engineers
,,152,,1520,1520,1520,1520,,1721XX,,1721XX,1721XX,1721XX,1721XX,"Petroleum, mining and geological engineers, including mining safety engineers"
,153,,1530,,,,,172199,,172199,,,,,"Engineers, All Other"
,,153,,1530,1530,1530,,,172XXX,,1721YY,1721YY,1721YY,,"Miscellaneous engineeers, including nuclear engineers"
,,,,,,,1530,,,,,,,1721YY,Other Engineers
,154,154,1540,1540,1540,1540,,173010,173010,173010,173010,173010,173010,,Drafters
,,,,,,,1541,,,,,,,173011,Architectural and Civil Drafters
,,,,,,,1545,,,,,,,17301X,Other Drafters
,155,155,1550,1550,1550,1550,,173020,173020,173020,173020,173020,173020,,"Engineering Technicians, Except Drafters"
,,,,,,,1551,,,,,,,173023,Electrical and Electronic Engineering Technologists And Technicians
,,,,,,,1555,,,,,,,17302X,"Other Engineering Technologists And Technicians, Except Drafters"
,156,156,1560,1560,1560,1560,1560,173031,173031,173031,173031,173031,173031,173031,Surveying and Mapping Technicians
"Life, Physical, and Social Science Occupations:",,,,,,,,,,,,,,,
,160,160,1600,1600,1600,1600,1600,191010,191010,191010,191010,191010,191010,191010,Agricultural and Food Scientists
,161,161,1610,1610,1610,1610,1610,191020,191020,191020,191020,191020,191020,191020,Biological Scientists
,164,164,1640,1640,1640,1640,1640,191030,191030,191030,191030,191030,191030,191030,Conservation Scientists and Foresters
